external_id,text,feature,segment,occurred_at,evidence_type
SYN-001,쿠폰과 소재를 함께 바꿔서 동일 조건의 비교인지 모르겠습니다. (독립 작성한 합성 시나리오),creative_comparability,소규모 광고주,2026-08-01,synthetic
SYN-002,모수가 적어서 판단 보류가 뜨면 다음에 얼마나 더 관찰해야 할지 궁금합니다. (독립 작성한 합성 시나리오),creative_uncertainty,소규모 광고주,2026-08-02,synthetic
SYN-003,왜 추천하는지와 제가 할 다음 행동을 설명해 주세요. (독립 작성한 합성 시나리오),creative_explanation,소규모 광고주,2026-08-03,synthetic
SYN-004,클릭과 매출 추이가 다를 때 리포트에서 지표 정의를 확인하고 싶어요. (독립 작성한 합성 시나리오),reporting,브랜드 마케터,2026-08-04,synthetic
SYN-005,고객에게 근거를 공유하고 승인 이력을 남겨야 합니다. (독립 작성한 합성 시나리오),workflow,대행사 운영자,2026-08-05,synthetic
SYN-006,타깃 차이와 지면 차이를 먼저 점검하고 소재를 비교하고 싶습니다. (독립 작성한 합성 시나리오),creative_comparability,브랜드 마케터,2026-08-06,synthetic
SYN-007,대안 소재의 추천 이유를 고객 설명용 문장으로 받고 싶습니다. (독립 작성한 합성 시나리오),creative_explanation,대행사 운영자,2026-08-07,synthetic
SYN-008,예산이 작아서 광고비 부담을 늘리지 않는 검토 방법이 필요합니다. (독립 작성한 합성 시나리오),budget,소규모 광고주,2026-08-08,synthetic
SYN-009,통계 결과가 달라질 때 신뢰구간을 보고 판단 보류를 결정하고 싶습니다. (독립 작성한 합성 시나리오),creative_uncertainty,브랜드 마케터,2026-08-09,synthetic
SYN-010,담당자 인수인계 시 추천 사유와 거절 사유를 함께 공유하고 싶어요. (독립 작성한 합성 시나리오),workflow,대행사 운영자,2026-08-10,synthetic
SYN-011,쿠폰과 소재를 함께 바꿔서 동일 조건의 비교인지 모르겠습니다. (독립 작성한 합성 시나리오),creative_comparability,소규모 광고주,2026-08-11,synthetic
SYN-012,모수가 적어서 판단 보류가 뜨면 다음에 얼마나 더 관찰해야 할지 궁금합니다. (독립 작성한 합성 시나리오),creative_uncertainty,소규모 광고주,2026-08-12,synthetic
SYN-013,왜 추천하는지와 제가 할 다음 행동을 설명해 주세요. (독립 작성한 합성 시나리오),creative_explanation,소규모 광고주,2026-08-13,synthetic
SYN-014,클릭과 매출 추이가 다를 때 리포트에서 지표 정의를 확인하고 싶어요. (독립 작성한 합성 시나리오),reporting,브랜드 마케터,2026-08-14,synthetic
SYN-015,고객에게 근거를 공유하고 승인 이력을 남겨야 합니다. (독립 작성한 합성 시나리오),workflow,대행사 운영자,2026-08-15,synthetic
SYN-016,타깃 차이와 지면 차이를 먼저 점검하고 소재를 비교하고 싶습니다. (독립 작성한 합성 시나리오),creative_comparability,브랜드 마케터,2026-09-01,synthetic
SYN-017,대안 소재의 추천 이유를 고객 설명용 문장으로 받고 싶습니다. (독립 작성한 합성 시나리오),creative_explanation,대행사 운영자,2026-09-02,synthetic
SYN-018,예산이 작아서 광고비 부담을 늘리지 않는 검토 방법이 필요합니다. (독립 작성한 합성 시나리오),budget,소규모 광고주,2026-09-03,synthetic
SYN-019,통계 결과가 달라질 때 신뢰구간을 보고 판단 보류를 결정하고 싶습니다. (독립 작성한 합성 시나리오),creative_uncertainty,브랜드 마케터,2026-09-04,synthetic
SYN-020,담당자 인수인계 시 추천 사유와 거절 사유를 함께 공유하고 싶어요. (독립 작성한 합성 시나리오),workflow,대행사 운영자,2026-09-05,synthetic
SYN-021,쿠폰과 소재를 함께 바꿔서 동일 조건의 비교인지 모르겠습니다. (독립 작성한 합성 시나리오),creative_comparability,소규모 광고주,2026-09-06,synthetic
SYN-022,모수가 적어서 판단 보류가 뜨면 다음에 얼마나 더 관찰해야 할지 궁금합니다. (독립 작성한 합성 시나리오),creative_uncertainty,소규모 광고주,2026-09-07,synthetic
SYN-023,왜 추천하는지와 제가 할 다음 행동을 설명해 주세요. (독립 작성한 합성 시나리오),creative_explanation,소규모 광고주,2026-09-08,synthetic
SYN-024,클릭과 매출 추이가 다를 때 리포트에서 지표 정의를 확인하고 싶어요. (독립 작성한 합성 시나리오),reporting,브랜드 마케터,2026-09-09,synthetic
SYN-025,고객에게 근거를 공유하고 승인 이력을 남겨야 합니다. (독립 작성한 합성 시나리오),workflow,대행사 운영자,2026-09-10,synthetic
SYN-026,타깃 차이와 지면 차이를 먼저 점검하고 소재를 비교하고 싶습니다. (독립 작성한 합성 시나리오),creative_comparability,브랜드 마케터,2026-09-11,synthetic
SYN-027,대안 소재의 추천 이유를 고객 설명용 문장으로 받고 싶습니다. (독립 작성한 합성 시나리오),creative_explanation,대행사 운영자,2026-09-12,synthetic
SYN-028,예산이 작아서 광고비 부담을 늘리지 않는 검토 방법이 필요합니다. (독립 작성한 합성 시나리오),budget,소규모 광고주,2026-09-13,synthetic
SYN-029,통계 결과가 달라질 때 신뢰구간을 보고 판단 보류를 결정하고 싶습니다. (독립 작성한 합성 시나리오),creative_uncertainty,브랜드 마케터,2026-09-14,synthetic
SYN-030,담당자 인수인계 시 추천 사유와 거절 사유를 함께 공유하고 싶어요. (독립 작성한 합성 시나리오),workflow,대행사 운영자,2026-09-15,synthetic
